-DOCSTART- -X- -X- O
(L) O O O
10/06/2069 O O O
14.6 O O O
(H) O O O
3.58 O O O
(L) O O O
10.0 O O O
(L) O O O
31.2 O O O
(L) O O O
Date/Time O O O
MCV O O O
MCH O O O
MCHC O O O
PLT O O O
10/07/2069 O O O
86 O O O
28.2 O O O
32.9 O O O
372 O O O
10/07/2069 O O O
88 O O O
28.8 O O O
32.9 O O O
372 O O O
10/06/2069 O O O
87 O O O
28.0 O O O
32.1 O O O
Date/Time O O O
RETIC O O O
10/02/2069 O O O
1.6 O O O
Date/Time O O O
PT O O O
PT-INR O O O
PTT O O O
10/07/2069 O O O
17.6 O O O
(H) O O O
1.6 O O O
30.6 O O O
10/01/2069 O O O
17.3 O O O
(H) O O O
1.6 O O O
29.2 O O O
[21] O O O
Date/Time O O O
HBV-SAB O O O
HBV-SAG O O O
HCVAB O O O
10/02/2069 O O O
EQUIVOCAL O O O
Non-Reactive O O O
Non-Reactive O O O
Date/Time O O O
VANC O O O
TR-VANC O O O
10/07/2069 O O O
13.2 O O O
[22] O O O
10/04/2069 O O O
38.6 O O O
[23] O O O
Specimen O O O
Type: O O O
BLOOD O O O
CULTURE O O O
Few O O O
POLYS, O O O
Few O O O
MONONUCLEAR O O O
CELLS, O O O
Abundant O O O
GRAM O O O
NEGATIVE O O O
RODS, O O O
Rare O O O
LARGE O O O
GRAM O O O
POSITIVE O O O
RODS O O O
Wound O O O
Culture O O O
- O O O
Final O O O
Reported: O O O
06-Oct-69 O O O
14:55 O O O
Specimen O O O
received O O O
from O O O
OR O O O
Abundant O O O
KLEBSIELLA O O O
PNEUMONIAE O O O
RAPID O O O
MIC O O O
METHOD O O O
Antibiotic O O O
Interpretation O O O
---------------------------------------------- O O O
Amikacin NNP B-NP B-DRUG
Susceptible O O O
Ampicillin NNP B-NP B-DRUG
Resistant O O O
Aztreonam NNP B-NP B-DRUG
Susceptible O O O
Cefazolin NNP B-NP B-DRUG
Susceptible O O O
Cefepime NNP B-NP B-DRUG
Susceptible O O O
Ceftriaxone NNP B-NP B-DRUG
Susceptible O O O
Ciprofloxacin NNP B-NP B-DRUG
Susceptible O O O
Gentamicin NNP B-NP B-DRUG
Susceptible O O O
Levofloxacin NNP B-NP B-DRUG
Susceptible O O O
Piperacillin NNP B-NP B-DRUG
Resistant O O O
Trimethoprim/Sulfamethoxazole NNP B-NP B-DRUG
Susceptible O O O
Abundant O O O
PSEUDOMONAS O O O
AERUGINOSA O O O
DISK O O O
METHOD O O O
Antibiotic O O O
Interpretation O O O
---------------------------------------- O O O
Aztreonam NNP B-NP B-DRUG
Susceptible O O O
Cefepime NNP B-NP B-DRUG
Susceptible O O O
Gentamicin NNP B-NP B-DRUG
Susceptible O O O
Levofloxacin NNP B-NP B-DRUG
Susceptible O O O
Piperacillin/Tazobactam NNP B-NP B-DRUG
Susceptible O O O
Ticarcillin NNP B-NP B-DRUG
Susceptible O O O
Tobramycin NNP B-NP B-DRUG
Susceptible O O O
Abundant O O O
MORGANELLA O O O
MORGANII O O O
SUBSPECIES O O O
MORGANII O O O
RAPID O O O
MIC O O O
METHOD O O O
Antibiotic O O O
Interpretation O O O
---------------------------------------------- O O O
Amikacin NNP B-NP B-DRUG
Susceptible O O O
Ampicillin NNP B-NP B-DRUG
Resistant O O O
Aztreonam NNP B-NP B-DRUG
Susceptible O O O
Cefazolin NNP B-NP B-DRUG
Resistant O O O
Cefepime NNP B-NP B-DRUG
Susceptible O O O
Ceftriaxone NNP B-NP B-DRUG
Susceptible O O O
Ciprofloxacin NNP B-NP B-DRUG
Susceptible O O O
Gentamicin NNP B-NP B-DRUG
Susceptible O O O
Levofloxacin NNP B-NP B-DRUG
Susceptible O O O
Piperacillin NNP B-NP B-DRUG
Susceptible O O O
Trimethoprim/Sulfamethoxazole NNP B-NP B-DRUG
Susceptible O O O
Anaerobic O O O
Culture O O O
- O O O
Preliminary O O O
Reported: O O O
06-Oct-69 O O O
11:48 O O O
Specimen O O O
received O O O
from O O O
OR O O O
NO O O O
ANAEROBES O O O
ISOLATED O O O
SO O O O
FAR O O O
EKG: O O O
NSR O O O
@ O O O
90, O O O
incomplete O O O
RBBB, O O O
L O O O
anterior O O O
fascicular O O O
block; O O O
QTC O O O
495 O O O
ms. O O O
Assessment/Plan O O O
In O O O
summary,62 O O O
y/o O O O
male O O O
with O O O
multiple O O O
medical O O O
issues O O O
as O O O
outlined O O O
in O O O
this O O O
and O O O
many O O O
other O O O
notes. O O O
Presenting O O O
with O O O
necrotic O O O
foot O O O
infection, O O O
polymicrobial. O O O
S/P O O O
Rt O O O
TMA. O O O
Mildly O O O
delerious O O O
and O O O
certainly O O O
off O O O
from O O O
a O O O
baseline O O O
that O O O
was O O O
tenuous O O O
to O O O
start. O O O
By O O O
issue: O O O
1) O O O
CAD: O O O
The O O O
patient O O O
does O O O
have O O O
CAD, O O O
MR O O O
and O O O
cardiomyopathy O O O
that O O O
are O O O
really O O O
not O O O
amenable O O O
to O O O
intervention, O O O
given O O O
patient O O O
noncompliance. O O O
The O O O
best O O O
goal O O O
at O O O
present O O O
is O O O
going O O O
to O O O
be O O O
continued O O O
medical O O O
management. O O O
If O O O
BP O O O
allows, O O O
could O O O
increase O O O
toprol NNP B-NP B-DRUG
XL, NNP B-NP I-DRUG
although O O O
I O O O
suspect O O O
that O O O
this O O O
will O O O
not O O O
be O O O
an O O O
option. O O O
In O O O
addition, O O O
would O O O
aim O O O
to O O O
keep O O O
even O O O
at O O O
dialysis. O O O
Certainly, O O O
cycle O O O
CKs O O O
and O O O
troponin O O O
and O O O
follow O O O
sx. O O O
I O O O
will O O O
defer O O O
to O O O
Dr. O O O
Shah, O O O
but O O O
I O O O
don't O O O
see O O O
clear O O O
benefit O O O
for O O O
cardiac O O O
cath, O O O
especially O O O
as O O O
we O O O
are O O O
not O O O
going O O O
to O O O
proceed O O O
to O O O
valve O O O
repair O O O
at O O O
this O O O
juncture. O O O
If O O O
he O O O
were O O O
to O O O
become O O O
more O O O
compliant, O O O
this O O O
might O O O
be O O O
another O O O
consideration O O O
and O O O
as O O O
he O O O
is O O O
now O O O
a O O O
CT O O O
resident, O O O
perhaps O O O
this O O O
will O O O
be O O O
a O O O
future O O O
consideration. O O O
2) O O O
Delirium: O O O
He O O O
does O O O
have O O O
a O O O
very O O O
tenuous O O O
baseline O O O
and O O O
has O O O
significant O O O
vascular O O O
dementia O O O
to O O O
start. O O O
He O O O
is O O O
off O O O
of O O O
this O O O
baseline, O O O
likely O O O
reflecting O O O
sundowning, O O O
medications O O O
and O O O
underlying O O O
metabolic O O O
processes. O O O
Please O O O
d/c O O O
medications O O O
that O O O
might O O O
be O O O
contributing O O O
to O O O
sx. O O O
Fluoxetine NNP B-NP B-DRUG
can O O O
be O O O
held O O O
for O O O
now O O O
as O O O
it O O O
was O O O
only O O O
started O O O
3 O O O
weeks O O O
prior. O O O
Might O O O
hold O O O
ranitidine NNP B-NP B-DRUG
as O O O
well. O O O
Haldol NNP B-NP B-DRUG
is O O O
d/cd O O O
in O O O
the O O O
setting O O O
of O O O
his O O O
prolonged O O O
QTc. O O O
Currently O O O
on O O O
olanzapine. NNP B-NP B-DRUG
Would O O O
continue O O O
to O O O
follow O O O
QTc O O O
closely O O O
and O O O
would O O O
d/c O O O
this O O O
med O O O
as O O O
well O O O
is O O O
still O O O
prolonged. O O O
Please O O O
send O O O
urine O O O
culture O O O
and O O O
surveillance O O O
blood O O O
cultures. O O O
3) O O O
Infection: O O O
Appreciate O O O
excellent O O O
surgical O O O
management O O O
of O O O
patient's O O O
wound. O O O
Levofloxacin NNP B-NP B-DRUG
has O O O
been O O O
d/cd O O O
2nd O O O
to O O O
concerns O O O
for O O O
altered O O O
mental O O O
status. O O O
All O O O
bacteria O O O
are O O O
sensitive O O O
to O O O
aztreonam NNP B-NP B-DRUG
so O O O
perhaps O O O
this O O O
would O O O
be O O O
a O O O
reasonable O O O
alternative. O O O
Would O O O
seek O O O
ID O O O
input O O O
to O O O
the O O O
end. O O O
Wound O O O
care O O O
per O O O
vascular O O O
with O O O
plans O O O
for O O O
D/C O O O
when O O O
stable O O O
and O O O
return O O O
for O O O
closure O O O
in O O O
the O O O
future. O O O
4) O O O
ESRD: O O O
Patient O O O
HAD O O O
dialysis O O O
today O O O
. O O O
Recs O O O
per O O O
nephrology O O O
3) O O O
DM: O O O
HgA1c O O O
was O O O
at O O O
target. O O O
Please O O O
cover O O O
as O O O
needed O O O
with O O O
RISS NNP B-NP B-DRUG
for O O O
now. O O O
5) O O O
Competency: O O O
certainly O O O
not O O O
able O O O
to O O O
make O O O
informed O O O
decisions O O O
at O O O
this O O O
time. O O O
Please O O O
confirm O O O
that O O O
his O O O
daughter O O O
is O O O
his O O O
HCP. O O O
Would O O O
try O O O
to O O O
use O O O
a O O O
Chadian O O O
interpreter O O O
and O O O
not O O O
daughters O O O
if O O O
at O O O
all O O O
possible. O O O
Thanks, O O O
____________________________________Paul O O O
Anthony O O O
Jaramillo, O O O
M.D.Pager O O O
# O O O
52666.Sheila O O O
Strong O O O
to O O O
cover O O O
for O O O
Thursday O O O
and O O O
Friday O O O

Record O O O
date: O O O
2073-04-19 O O O
Physical O O O
exam: O O O
CC: O O O
HPI:Here O O O
for O O O
f/u. O O O
Doiing O O O
"well". O O O
No O O O
hypoglycemic O O O
episodes O O O
reported. O O O
Compliant O O O
with O O O
tx. O O O
Admits O O O
to O O O
indiscretions O O O
with O O O
diet. O O O
Not O O O
exercising O O O
at O O O
all. O O O
Still O O O
smoking. O O O
Recent O O O
visit O O O
to O O O
breast O O O
cancer O O O
center O O O
with O O O
Dr. O O O
Mitchell. O O O
Denies O O O
weight O O O
loss, O O O
change O O O
in O O O
appetite, O O O
problems O O O
sleeping, O O O
night O O O
sweats, O O O
fevers, O O O
headaches, O O O
visual O O O
changes, O O O
dysphagia, O O O
shortness O O O
of O O O
breath, O O O
orthopnea, O O O
PND, O O O
cough, O O O
chest O O O
pain, O O O
lower O O O
extremity O O O
edema, O O O
abdominal O O O
pain, O O O
nausea, O O O
vomiting, O O O
diarrhea, O O O
constipation, O O O
blood O O O
in O O O
stool, O O O
black O O O
stool, O O O
dysuria, O O O
nocturia, O O O
urinary O O O
or O O O
fecal O O O
incontinence, O O O
rashes, O O O
change O O O
in O O O
moles, O O O
joint O O O
pain, O O O
or O O O
depressed O O O
mood. O O O
no O O O
vaginal O O O
discharge, O O O
no O O O
pelvic O O O
pain, O O O
no O O O
dyspareunia. O O O
Problems O O O
Diabetes O O O
mellitus O O O
type O O O
2 O O O
: O O O
Not O O O
on O O O
any O O O
meds. O O O
Depression O O O
Anxiety O O O
: O O O
Given O O O
lorazepam NNP B-NP B-DRUG
in O O O
ER. O O O
sleep O O O
disturbance O O O
: O O O
Insomnia O O O
Smoking O O O
: O O O
started O O O
40 O O O
years O O O
ago. O O O
Hypertension O O O
traumatic O O O
brain O O O
injury O O O
s/p O O O
MVA O O O
: O O O
9/2070. O O O
Hyperlipidemia O O O
diabetic O O O
foot O O O
ulcer O O O
on O O O
right O O O
big O O O
toe O O O
: O O O
Urgent O O O
referral O O O
to O O O
podiatry O O O
and O O O
put O O O
on O O O
Keflex. NNP B-NP B-DRUG
Proteinuria NNP B-NP B-DRUG
left O O O
upper O O O
lobe O O O
lung O O O
nodule O O O
: O O O
3 O O O
month O O O
follow O O O
up O O O
CT O O O
scan O O O
scheduled O O O
for O O O
2/4/72. O O O
Noncompliance O O O
H/O O O O
breast O O O
cancer O O O
: O O O
s/p O O O
radiation O O O
tx, O O O
chemotherapy.Left NNP B-NP B-DRUG
breast O O O
T2 O O O
N0 O O O
MX O O O
invasive O O O
ductal O O O
carcinoma, O O O
LVI-, O O O
margins O O O
-, O O O
ER+PR+, O O O
HER O O O
2/neu- O O O
s/p O O O
lumpectomy O O O
and O O O
SLN O O O
mapping. O O O
s/p O O O
left O O O
carotid O O O
endarderectomy O O O
Onychomycosis O O O
Medications O O O
Panafil NNP B-NP B-DRUG
OINTMENT O O O
(PAPAIN/UREA/CHLOROPHYLLIN O O O
COPPER NNP B-NP I-DRUG
COMPLEX NNP B-NP I-DRUG
SOD) NNP B-NP I-DRUG
OINT.(GM) O O O
TOP O O O
BID O O O
, O O O
apply O O O
to O O O
toe O O O
bid O O O
as O O O
directed O O O
Radiagel NNP B-NP B-DRUG
RADIAGEL NNP B-NP B-DRUG
TOP O O O
TID O O O
x O O O
20 O O O
days, O O O
apply O O O
thin O O O
layer O O O
of O O O
gel O O O
to O O O
treatment O O O
area O O O
2-3 O O O
times O O O
per O O O
day O O O
Lorazepam NNP B-NP B-DRUG
1 O O O
MG O O O
(1MG O O O
TABLET O O O
take O O O
1) O O O
PO O O O
QD O O O
, O O O
BC O O O
3025235 O O O
One O O O
pill O O O
every O O O
12 O O O
hrs. O O O
Lisinopril NNP B-NP B-DRUG
40 O O O
MG O O O
(40MG O O O
TABLET O O O
take O O O
1) O O O
PO O O O
QD O O O
, O O O
For O O O
high O O O
blood O O O
pressure. O O O
One O O O
pill O O O
every O O O
day O O O
in O O O
the O O O
morning. O O O
Fluoxetine NNP B-NP B-DRUG
HCL NNP B-NP I-DRUG
20MG O O O
TABLET O O O
PO O O O
two O O O
pills O O O
QD O O O
, O O O
take O O O
two O O O
pills O O O
per O O O
day. O O O
Lipitor NNP B-NP B-DRUG
(ATORVASTATIN) O O O
20 O O O
MG O O O
(20MG O O O
TABLET O O O
take O O O
1) O O O
PO O O O
QHS O O O
, O O O
Para O O O
el O O O
colesterol O O O
alto. O O O
Tome O O O
una O O O
pastilla O O O
diaria O O O
por O O O
la O O O
noche. O O O
Asa NNP B-NP B-DRUG
(ACETYLSALICYLIC O O O
ACID) NNP B-NP I-DRUG
81 O O O
MG O O O
(81MG O O O
TABLET O O O
take O O O
1) O O O
PO O O O
QD O O O
, O O O
Una O O O
pastilla O O O
diaria O O O
con O O O
comida. O O O
Glucotrol NNP B-NP B-DRUG
(GLIPIZIDE) O O O
5 O O O
MG O O O
(5MG O O O
TABLET O O O
take O O O
1) O O O
PO O O O
BID O O O
, O O O
For O O O
diabetes. O O O
One O O O
pill O O O
twice O O O
per O O O
day. O O O
Calcium NNP B-NP B-DRUG
CARBONATE NNP B-NP I-DRUG
(500 O O O
MG O O O
ELEMENTAL O O O
CA++) O O O
1250 O O O
MG O O O
PO O O O
TID O O O
, O O O
For O O O
osteoporosis. O O O
1 O O O
pill O O O
with O O O
meals O O O
3 O O O
times/day. O O O
Hctz NNP B-NP B-DRUG
(HYDROCHLOROTHIAZIDE) O O O
12.5 O O O
MG O O O
(12.5MG O O O
CAPSULE O O O
take O O O
1) O O O
PO O O O
QD O O O
, O O O
Para O O O
la O O O
presi O O O
n O O O
alta- O O O
si O O O
se O O O
siente O O O
muy O O O
mareado O O O
deje O O O
de O O O
tomarla O O O
y O O O
av O O O
sele O O O
a O O O
su O O O
m O O O
dico O O O
immediatamente. O O O
Metformin NNP B-NP B-DRUG
500 O O O
MG O O O
(500MG O O O
TABLET O O O
take O O O
1) O O O
PO O O O
TID O O O
, O O O
For O O O
diabetes. O O O
Fosamax NNP B-NP B-DRUG
(ALENDRONATE) O O O
70MG O O O
TABLET O O O
take O O O
1 O O O
Tablet(s) O O O
PO O O O
QWEEK O O O
, O O O
Para O O O
la O O O
osteoporosis. O O O
One O O O
pill O O O
once O O O
per O O O
week. O O O
Must O O O
remain O O O
upright O O O
for O O O
at O O O
least O O O
30 O O O
min. O O O
after O O O
taking O O O
it. O O O
If O O O
problems O O O
swallowing, O O O
pain, O O O
stomach O O O
pain, O O O
please O O O
let O O O
your O O O
doctor O O O
know. O O O
Arimidex NNP B-NP B-DRUG
(ANASTROZOLE) O O O
1 O O O
MG O O O
(1MG O O O
TABLET O O O
take O O O
1) O O O
PO O O O
QD O O O
x O O O
30 O O O
days O O O
Allergies O O O
NKA O O O
SOCIAL O O O
HX: O O O
+ O O O
tobacco. O O O
No O O O
alcohol, O O O
or O O O
drug O O O
use. O O O
Denies O O O
domestic O O O
violence. O O O
Uses O O O
seat O O O
belts. O O O
PE: O O O
Vital O O O
Signs O O O
BP: O O O
152/80 O O O
P-94 O O O
GEN: O O O
NAD. O O O
HEENT: O O O
no O O O
icterus O O O
Lungs: O O O
CTA O O O
bilaterally O O O
CV: O O O
RRR O O O
Abdomen: O O O
soft, O O O
non-tender O O O
Extremities: O O O
No O O O
C/C/E O O O
Skin: O O O
no O O O
rashes O O O
Neuro: O O O
Unchanged. O O O
Grossly O O O
nonfocal. O O O
Labs: O O O
Results O O O
Date/Time O O O
NA O O O
K O O O
CL O O O
CO2 O O O
03/02/2073 O O O
135 O O O
4.7 O O O
98 O O O
(L) O O O
28.2 O O O
(135-145) O O O
(3.4-4.8) O O O
(100-108) O O O
(23.0-31.9) O O O
Date/Time O O O
BUN O O O
CRE O O O
GLU O O O
03/02/2073 O O O
12 O O O
0.9 O O O
444 O O O
(H) O O O
(8-25) O O O
(0.6-1.5) O O O
(70-110) O O O
Date/Time O O O
CA O O O
TBILI O O O
TP O O O
ALB O O O
03/02/2073 O O O
9.1 O O O
0.1 O O O
6.5 O O O
2.9 O O O
(L) O O O
(8.5-10.5) O O O
(0.0-1.0) O O O
(6.0-8.3) O O O
(3.3-5.0) O O O
Date/Time O O O
GLOB O O O
03/02/2073 O O O
3.6 O O O
(2.6-4.1) O O O
Date/Time O O O
ALT/SGPT O O O
AST/SGOT O O O
ALKP O O O
TBILI O O O
03/02/2073 O O O
46 O O O
(H) O O O
51 O O O
(H) O O O
90 O O O
0.1 O O O
(7-30) O O O
(9-32) O O O
(30-100) O O O
(0.0-1.0) O O O
Date/Time O O O
HGBA1C O O O
MEAN-GLU O O O
03/02/2073 O O O
12.90 O O O
(H) O O O
344 O O O
(3.80-6.40) O O O
Radiology O O O
Exam O O O
Number: O O O
0913426 O O O
Report O O O
Status: O O O
Final O O O
Type: O O O
MammoBilDigScr O O O
Date/Time: O O O
03/19/2073 O O O
11:09 O O O
Exam O O O
Code: O O O
LLGKRS O O O
Ordering O O O
Provider: O O O
NEWTON, O O O
QUEEN O O O
HISTORY: O O O
routine O O O
screening O O O
REPORT O O O
BILATERAL O O O
MAMMOGRAM O O O
The O O O
present O O O
study O O O
is O O O
compared O O O
to O O O
previous O O O
films. O O O
There O O O
are O O O
scattered O O O
fibroglandular O O O
densities. O O O
There O O O
is O O O
architectural O O O
distortion O O O
and O O O
skin O O O
and O O O
trabecular O O O
thickening O O O
involving O O O
the O O O
left O O O
breast O O O
that O O O
are O O O
consistent O O O
with O O O
post O O O
treatment O O O
changes. O O O
There O O O
is O O O
no O O O
evidence O O O
of O O O
new O O O
or O O O
recurrent O O O
disease. O O O
No O O O
suspicious O O O
mass, O O O
calcifications O O O
or O O O
architectural O O O
distortion O O O
are O O O
identified O O O
in O O O
the O O O
right O O O
breast. O O O
A O O O
clip O O O
and O O O
calcifications O O O
are O O O
noted O O O
in O O O
the O O O
upper O O O
outer O O O
quadrant O O O
from O O O
prior O O O
benign O O O
percutaneous O O O
biopsy. O O O
There O O O
is O O O
no O O O
mammographic O O O
evidence O O O
of O O O
malignancy O O O
in O O O
the O O O
right O O O
breast. O O O
IMPRESSION O O O
Post O O O
treatment O O O
changes O O O
involving O O O
the O O O
left O O O
breast O O O
with O O O
no O O O
evidence O O O
of O O O
new O O O
or O O O
recurrent O O O
disease. O O O
No O O O
mammographic O O O
evidence O O O
of O O O
malignancy O O O
in O O O
the O O O
right O O O
breast. O O O
BI-RADS O O O
Category O O O
2 O O O
Benign O O O
Finding O O O
RADIOLOGISTS: O O O
SIGNATURES: O O O
XI, O O O
KATHERINE O O O
I O O O
XI, O O O
KATHERINE O O O
I O O O
Impression O O O
and O O O
Plan: O O O
1) O O O
Uncontrolled O O O
DM: O O O
A O O O
bit O O O
improved. O O O
Now O O O
with O O O
premeal O O O
values O O O
mostly O O O
in O O O
low O O O
200s. O O O
Will O O O
increase O O O
to O O O
1000 O O O
mg O O O
qpm O O O
since O O O
her O O O
AM O O O
values O O O
seem O O O
to O O O
be O O O
higest. O O O
Eventually O O O
will O O O
need O O O
to O O O
be O O O
on O O O
maximal O O O
doses O O O
of O O O
metformin NNP B-NP B-DRUG
(2550 O O O
mg O O O
qd). O O O
Hypoglycemic O O O
event O O O
management O O O
reviewed. O O O
Still O O O
with O O O
frequent O O O
dietary O O O
indiscretions, O O O
such O O O
as O O O
eating O O O
candy O O O
and O O O
pizza O O O
on O O O
regular O O O
basis. O O O
2) O O O
Diet O O O
modification O O O
reviewed. O O O
3) O O O
HTN/proteinuria: O O O
Not O O O
optimally O O O
controlled. O O O
WIll O O O
add O O O
atenolol NNP B-NP B-DRUG
for O O O
now. O O O
Rationale O O O
for O O O
this O O O
reviewed O O O
with O O O
pt. O O O
Cont. O O O
ACEI NNP B-NP B-DRUG
and O O O
adjust O O O
next O O O
time O O O
based O O O
on O O O
microalbumin. O O O
Previously O O O
referred O O O
to O O O
renal O O O
for O O O
eval. O O O
4) O O O
Osteoporosis: O O O
Stable. O O O
Cont. O O O
Fosamax. NNP B-NP B-DRUG
Reviewd O O O
proper O O O
use-drinking O O O
of O O O
water O O O
and O O O
staying O O O
upright O O O
for O O O
at O O O
least O O O
30 O O O
minutes O O O
after O O O
taking O O O
pill. O O O
5) O O O
Smoking: O O O
5 O O O
cigs O O O
per O O O
day O O O
per O O O
pt. O O O
Risks O O O
and O O O
options O O O
discussed. O O O
Urged O O O
cessation. O O O
6) O O O
H/o O O O
breast O O O
cancer: O O O
Stable. O O O
F/u O O O
with O O O
Queen O O O
Newton O O O
9/73 O O O
and O O O
Dr.Mitchell O O O
12/73. O O O
7) O O O
abnormal O O O
LFTs: O O O
recheck O O O
in O O O
a O O O
couple O O O
of O O O
months. O O O
8) O O O
H/o O O O
noncompliance: O O O
reviewed O O O
in O O O
detail O O O
with O O O
pt. O O O
"busy O O O
schedule O O O
of O O O
appts". O O O
Urged O O O
compliance. O O O
Encounter O O O
40 O O O
min. O O O
more O O O
than O O O
1/2 O O O
of O O O
it O O O
in O O O
face O O O
to O O O
face O O O
review O O O
of O O O
meds, O O O
education/counseling O O O
about O O O
DM O O O
management, O O O
rationale O O O
for O O O
medical O O O
regimen, O O O
HTN, O O O
compliance O O O
issues, O O O
smoking O O O
cessation O O O
and O O O
above. O O O
_____________________________________________ O O O
Noah O O O
K. O O O
Quintin-Malone, O O O
M.D. O O O

Record O O O
date: O O O
2069-08-17 O O O
NAME: O O O
Vines, O O O
Stephen O O O
MRN: O O O
1672569 O O O
Mr. O O O
Vines O O O
comes O O O
in O O O
today. O O O
He O O O
has O O O
been O O O
feeling O O O
pretty O O O
well O O O
though O O O
he O O O
is O O O
distressed O O O
at O O O
his O O O
18-pound O O O
weight O O O
gain. O O O
His O O O
sugars O O O
were O O O
in O O O
the O O O
300s O O O
before O O O
starting O O O
the O O O
insulin. NNP B-NP B-DRUG
Since O O O
he O O O
started O O O
the O O O
insulin, NNP B-NP B-DRUG
his O O O
sugars O O O
have O O O
come O O O
down O O O
nicely. O O O
His O O O
fasting O O O
sugars O O O
have O O O
been O O O
in O O O
the O O O
120s. O O O
His O O O
afternoon O O O
sugars O O O
have O O O
been O O O
in O O O
the O O O
70-90s. O O O
He O O O
had O O O
a O O O
few O O O
hypoglycemic O O O
episodes O O O
early O O O
on O O O
but O O O
has O O O
not O O O
had O O O
some O O O
in O O O
almost O O O
a O O O
month. O O O
Other O O O
than O O O
that, O O O
he O O O
really O O O
has O O O
no O O O
new O O O
complaints. O O O
He O O O
is O O O
still O O O
not O O O
smoking. O O O
He O O O
is O O O
still O O O
on O O O
the O O O
patch. O O O
His O O O
neuropathy O O O
has O O O
not O O O
gotten O O O
any O O O
worse O O O
and O O O
he O O O
thinks O O O
he O O O
can O O O
stop O O O
the O O O
Neurontin NNP B-NP B-DRUG
now. O O O
He O O O
has O O O
not O O O
had O O O
any O O O
shortness O O O
of O O O
breath, O O O
cough O O O
or O O O
edema. O O O
REVIEW O O O
OF O O O
SYSTEMS: O O O
As O O O
above. O O O
No O O O
GI O O O
symptoms, O O O
no O O O
GU O O O
symptoms O O O
and O O O
no O O O
new O O O
skin O O O
symptoms, O O O
no O O O
arthritic O O O
complaints. O O O
HABITS: O O O
Not O O O
smoking O O O
or O O O
drinking. O O O
Not O O O
getting O O O
much O O O
exercise O O O
now. O O O
PHYSICAL O O O
EXAM: O O O
His O O O
blood O O O
pressure O O O
is O O O
140/80 O O O
on O O O
the O O O
left, O O O
150/80 O O O
on O O O
the O O O
right. O O O
His O O O
pulse O O O
is O O O
76 O O O
and O O O
regular. O O O
Respirations O O O
are O O O
16. O O O
Lungs O O O
are O O O
clear. O O O
Heart: O O O
Regular O O O
rate O O O
and O O O
rhythm, O O O
negative O O O
M/R/G. O O O
No O O O
bruits O O O
heard. O O O
Nasopharynx O O O
unremarkable. O O O
Abdomen O O O
is O O O
benign. O O O
He O O O
has O O O
diminished O O O
pulses O O O
but O O O
good O O O
capillary O O O
refill O O O
in O O O
the O O O
feet. O O O
The O O O
cellulitis O O O
on O O O
the O O O
left O O O
ankle O O O
is O O O
completely O O O
resolved. O O O
He O O O
has O O O
some O O O
neuropathy O O O
of O O O
the O O O
feet O O O
with O O O
decreased O O O
sense O O O
to O O O
vibration O O O
in O O O
both O O O
feet, O O O
but O O O
his O O O
sensation O O O
to O O O
monofilament O O O
is O O O
intact O O O
on O O O
both O O O
feet. O O O
ASSESSMENT O O O
AND O O O
PLAN: O O O
(1) O O O
Diabetes. O O O
Will O O O
check O O O
his O O O
hemoglobin O O O
A1c O O O
today. O O O
It O O O
may O O O
still O O O
be O O O
a O O O
little O O O
bit O O O
high O O O
as O O O
he O O O
has O O O
undergone O O O
a O O O
rather O O O
brisk O O O
change O O O
since O O O
starting O O O
his O O O
insulin. NNP B-NP B-DRUG
I O O O
encouraged O O O
him O O O
to O O O
check O O O
his O O O
sugars O O O
a O O O
couple O O O
times O O O
a O O O
week, O O O
especially O O O
in O O O
the O O O
afternoon. O O O
If O O O
he O O O
continues O O O
to O O O
get O O O
low O O O
sugars, O O O
will O O O
cut O O O
back O O O
on O O O
his O O O
morning O O O
insulin NNP B-NP B-DRUG
to O O O
35 O O O
units. O O O
He O O O
is O O O
going O O O
to O O O
bring O O O
in O O O
a O O O
form O O O
for O O O
custom O O O
shoes O O O
given O O O
his O O O
neuropathy O O O
and O O O
is O O O
followed O O O
closely O O O
by O O O
Podiatry. O O O
He O O O
had O O O
an O O O
eye O O O
exam O O O
earlier O O O
this O O O
year O O O
with O O O
Dr. O O O
Yousif. O O O
(2) O O O
Hypertension. O O O
Will O O O
increase O O O
his O O O
Mavik NNP B-NP B-DRUG
to O O O
4 O O O
mg O O O
a O O O
day. O O O
(3) O O O
Hyperlipidemia. O O O
Recheck O O O
lipids O O O
and O O O
SGOT O O O
today. O O O
(4) O O O
CAD O O O
prevention. O O O
He O O O
can't O O O
take O O O
aspirin NNP B-NP B-DRUG
so O O O
we O O O
will O O O
start O O O
Plavix NNP B-NP B-DRUG
75 O O O
mg O O O
a O O O
day. O O O
(5) O O O
Status-post O O O
splenectomy. O O O
He O O O
needs O O O
a O O O
Pneumovax O O O
booster O O O
0.5 O O O
cc O O O
was O O O
given O O O
in O O O
the O O O
left O O O
deltoid. O O O
Scott O O O
Phipps, O O O
M.D. O O O
SP/irons/quang O O O

Record O O O
date: O O O
2076-03-23 O O O
Lakeview O O O
Clinic O O O
Note O O O
Patient O O O
comes O O O
in O O O
today O O O
for O O O
follow-up O O O
of O O O
recent O O O
hospitalization O O O
for O O O
L1 O O O
fracture O O O
following O O O
a O O O
fall. O O O
She O O O
was O O O
in O O O
her O O O
usual O O O
state O O O
of O O O
health O O O
until O O O
2 O O O
months O O O
